2024-05-13 20:55:08,753 - cli.py - This is Paynt version 0.1.0.
2024-05-13 20:55:08,753 - sketch.py - loading sketch from models/archive/jair24-synthesis/dec-pomdp/grid-meet-sl-2fsc-discount/sketch.templ ...
2024-05-13 20:55:08,753 - sketch.py - assuming sketch in PRISM format...
2024-05-13 20:55:08,757 - prism_parser.py - PRISM model type: DTMC
2024-05-13 20:55:08,757 - prism_parser.py - processing hole definitions...
2024-05-13 20:55:08,757 - prism_parser.py - loading properties from models/archive/jair24-synthesis/dec-pomdp/grid-meet-sl-2fsc-discount/sketch.props ...
2024-05-13 20:55:08,758 - prism_parser.py - found the following specification: optimality: R[exp]{"moves"}max=? [F "goal"] 
2024-05-13 20:55:08,758 - jani.py - constructing JANI program...
2024-05-13 20:55:08,763 - jani.py - constructing the quotient...
2024-05-13 20:55:11,601 - jani.py - associating choices of the quotient with hole assignments...
2024-05-13 20:55:12,545 - sketch.py - sketch parsing OK
2024-05-13 20:55:12,545 - sketch.py - converting state rewards 'moves' to state-action rewards
2024-05-13 20:55:12,593 - sketch.py - constructed explicit quotient having 18432 states and 599040 actions
2024-05-13 20:55:12,593 - sketch.py - found the following specification optimality: R[exp]{"moves"}max=? [F "goal"] 
2024-05-13 20:55:13,105 - synthesizer.py - synthesis initiated, design space: 1e7
> progress 1.031%, elapsed 3 s, estimated 291 s, iters = {MDP: 121}, opt = -98.187
> progress 13.427%, elapsed 99 s, estimated 739 s, iters = {MDP: 2193}, opt = -11.141
> progress 13.438%, elapsed 102 s, estimated 761 s, iters = {MDP: 2228}, opt = -11.141
> progress 13.476%, elapsed 105 s, estimated 783 s, iters = {MDP: 2245}, opt = -11.141
> progress 13.482%, elapsed 108 s, estimated 805 s, iters = {MDP: 2270}, opt = -11.141
> progress 13.494%, elapsed 111 s, estimated 828 s, iters = {MDP: 2286}, opt = -11.141
> progress 13.525%, elapsed 115 s, estimated 850 s, iters = {MDP: 2300}, opt = -11.141
> progress 13.574%, elapsed 118 s, estimated 871 s, iters = {MDP: 2312}, opt = -11.141
> progress 13.671%, elapsed 122 s, estimated 896 s, iters = {MDP: 2318}, opt = -11.141
> progress 13.671%, elapsed 125 s, estimated 918 s, iters = {MDP: 2322}, opt = -11.141
> progress 13.702%, elapsed 128 s, estimated 938 s, iters = {MDP: 2392}, opt = -11.141
> progress 13.719%, elapsed 131 s, estimated 959 s, iters = {MDP: 2425}, opt = -11.141
> progress 13.83%, elapsed 134 s, estimated 975 s, iters = {MDP: 2452}, opt = -11.141
> progress 13.867%, elapsed 138 s, estimated 999 s, iters = {MDP: 2458}, opt = -11.141
> progress 13.877%, elapsed 141 s, estimated 1020 s, iters = {MDP: 2503}, opt = -11.141
> progress 13.897%, elapsed 144 s, estimated 1040 s, iters = {MDP: 2542}, opt = -11.141
> progress 13.919%, elapsed 147 s, estimated 1060 s, iters = {MDP: 2570}, opt = -11.141
> progress 13.94%, elapsed 151 s, estimated 1083 s, iters = {MDP: 2599}, opt = -11.141
> progress 13.964%, elapsed 154 s, estimated 1105 s, iters = {MDP: 2642}, opt = -11.141
> progress 14.257%, elapsed 157 s, estimated 1103 s, iters = {MDP: 2709}, opt = -11.141
> progress 14.716%, elapsed 160 s, estimated 1089 s, iters = {MDP: 2771}, opt = -11.141
> progress 14.969%, elapsed 163 s, estimated 1091 s, iters = {MDP: 2868}, opt = -11.141
> progress 15.234%, elapsed 166 s, estimated 1092 s, iters = {MDP: 2969}, opt = -11.141
> progress 15.496%, elapsed 169 s, estimated 1093 s, iters = {MDP: 3065}, opt = -11.141
> progress 15.628%, elapsed 172 s, estimated 1103 s, iters = {MDP: 3105}, opt = -11.141
> progress 15.661%, elapsed 175 s, estimated 1120 s, iters = {MDP: 3148}, opt = -11.141
> progress 15.722%, elapsed 178 s, estimated 1135 s, iters = {MDP: 3191}, opt = -11.141
> progress 16.241%, elapsed 181 s, estimated 1118 s, iters = {MDP: 3210}, opt = -11.141
> progress 16.411%, elapsed 184 s, estimated 1125 s, iters = {MDP: 3252}, opt = -11.141
> progress 16.424%, elapsed 187 s, estimated 1142 s, iters = {MDP: 3321}, opt = -11.141
> progress 16.455%, elapsed 190 s, estimated 1159 s, iters = {MDP: 3430}, opt = -11.141
> progress 16.522%, elapsed 193 s, estimated 1173 s, iters = {MDP: 3483}, opt = -11.141
> progress 16.552%, elapsed 197 s, estimated 1190 s, iters = {MDP: 3561}, opt = -11.141
> progress 16.589%, elapsed 200 s, estimated 1207 s, iters = {MDP: 3578}, opt = -11.141
> progress 16.603%, elapsed 203 s, estimated 1224 s, iters = {MDP: 3612}, opt = -11.141
> progress 16.674%, elapsed 206 s, estimated 1238 s, iters = {MDP: 3662}, opt = -11.141
> progress 16.772%, elapsed 209 s, estimated 1249 s, iters = {MDP: 3684}, opt = -11.141
> progress 16.798%, elapsed 212 s, estimated 1265 s, iters = {MDP: 3726}, opt = -11.141
> progress 16.857%, elapsed 215 s, estimated 1279 s, iters = {MDP: 3788}, opt = -11.141
> progress 17.59%, elapsed 218 s, estimated 1243 s, iters = {MDP: 3809}, opt = -11.141
> progress 17.634%, elapsed 221 s, estimated 1257 s, iters = {MDP: 3848}, opt = -11.141
> progress 17.678%, elapsed 224 s, estimated 1271 s, iters = {MDP: 3875}, opt = -11.141
> progress 17.797%, elapsed 227 s, estimated 1279 s, iters = {MDP: 3891}, opt = -11.141
> progress 18.75%, elapsed 230 s, estimated 1231 s, iters = {MDP: 3909}, opt = -11.141
> progress 19.213%, elapsed 233 s, estimated 1217 s, iters = {MDP: 4008}, opt = -8.545
> progress 19.531%, elapsed 237 s, estimated 1214 s, iters = {MDP: 4024}, opt = -8.545
> progress 19.58%, elapsed 240 s, estimated 1227 s, iters = {MDP: 4063}, opt = -8.545
> progress 19.677%, elapsed 243 s, estimated 1237 s, iters = {MDP: 4069}, opt = -8.545
> progress 19.683%, elapsed 246 s, estimated 1253 s, iters = {MDP: 4114}, opt = -8.545
> progress 19.726%, elapsed 249 s, estimated 1265 s, iters = {MDP: 4120}, opt = -8.545
> progress 19.731%, elapsed 252 s, estimated 1281 s, iters = {MDP: 4142}, opt = -8.545
> progress 19.744%, elapsed 256 s, estimated 1296 s, iters = {MDP: 4186}, opt = -8.545
> progress 19.921%, elapsed 259 s, estimated 1301 s, iters = {MDP: 4192}, opt = -8.545
> progress 19.946%, elapsed 262 s, estimated 1314 s, iters = {MDP: 4197}, opt = -8.545
> progress 19.949%, elapsed 265 s, estimated 1329 s, iters = {MDP: 4294}, opt = -8.545
> progress 19.959%, elapsed 268 s, estimated 1343 s, iters = {MDP: 4349}, opt = -8.545
> progress 19.97%, elapsed 271 s, estimated 1359 s, iters = {MDP: 4375}, opt = -8.545
> progress 20.019%, elapsed 275 s, estimated 1374 s, iters = {MDP: 4390}, opt = -8.545
> progress 20.03%, elapsed 278 s, estimated 1389 s, iters = {MDP: 4412}, opt = -8.545
> progress 20.069%, elapsed 281 s, estimated 1402 s, iters = {MDP: 4422}, opt = -8.545
> progress 20.117%, elapsed 284 s, estimated 1415 s, iters = {MDP: 4442}, opt = -8.545
> progress 20.153%, elapsed 288 s, estimated 1429 s, iters = {MDP: 4453}, opt = -8.545
> progress 22.656%, elapsed 291 s, estimated 1286 s, iters = {MDP: 4464}, opt = -8.545
> progress 22.851%, elapsed 294 s, estimated 1288 s, iters = {MDP: 4471}, opt = -8.545
> progress 25.0%, elapsed 297 s, estimated 1190 s, iters = {MDP: 4508}, opt = -8.545
> progress 28.125%, elapsed 300 s, estimated 1069 s, iters = {MDP: 4520}, opt = -8.545
> progress 43.798%, elapsed 303 s, estimated 693 s, iters = {MDP: 4552}, opt = -8.545
> progress 46.093%, elapsed 306 s, estimated 665 s, iters = {MDP: 4677}, opt = -8.545
> progress 59.375%, elapsed 309 s, estimated 521 s, iters = {MDP: 4686}, opt = -8.545
> progress 59.521%, elapsed 312 s, estimated 525 s, iters = {MDP: 4691}, opt = -8.545
> progress 59.526%, elapsed 316 s, estimated 530 s, iters = {MDP: 4711}, opt = -8.545
> progress 59.543%, elapsed 319 s, estimated 535 s, iters = {MDP: 4722}, opt = -8.545
> progress 59.548%, elapsed 322 s, estimated 541 s, iters = {MDP: 4735}, opt = -8.545
> progress 75.0%, elapsed 325 s, estimated 434 s, iters = {MDP: 4746}, opt = -8.545
> progress 94.531%, elapsed 328 s, estimated 347 s, iters = {MDP: 4756}, opt = -8.545
> progress 94.54%, elapsed 332 s, estimated 351 s, iters = {MDP: 4777}, opt = -8.545
> progress 94.552%, elapsed 335 s, estimated 354 s, iters = {MDP: 4807}, opt = -8.545
> progress 94.592%, elapsed 338 s, estimated 357 s, iters = {MDP: 4814}, opt = -8.545
> progress 94.598%, elapsed 341 s, estimated 361 s, iters = {MDP: 4826}, opt = -8.545
> progress 94.61%, elapsed 344 s, estimated 364 s, iters = {MDP: 4847}, opt = -8.545
> progress 94.618%, elapsed 347 s, estimated 367 s, iters = {MDP: 4867}, opt = -8.545
> progress 94.726%, elapsed 350 s, estimated 370 s, iters = {MDP: 4885}, opt = -8.545
> progress 94.757%, elapsed 353 s, estimated 373 s, iters = {MDP: 4912}, opt = -8.545
> progress 94.873%, elapsed 356 s, estimated 376 s, iters = {MDP: 4926}, opt = -8.545
> progress 94.921%, elapsed 360 s, estimated 379 s, iters = {MDP: 4935}, opt = -8.545
> progress 94.928%, elapsed 363 s, estimated 382 s, iters = {MDP: 4969}, opt = -8.545
> progress 94.949%, elapsed 366 s, estimated 386 s, iters = {MDP: 4989}, opt = -8.545
> progress 94.958%, elapsed 369 s, estimated 389 s, iters = {MDP: 5001}, opt = -8.545
> progress 94.97%, elapsed 372 s, estimated 392 s, iters = {MDP: 5016}, opt = -8.545
> progress 94.995%, elapsed 376 s, estimated 395 s, iters = {MDP: 5031}, opt = -8.545
2024-05-13 21:01:32,382 - synthesizer.py - synthesis finished, printing synthesized assignment below:
2024-05-13 21:01:32,382 - synthesizer.py - M1_0_1=1, M1_0_0=0, M1_1_1=1, M1_1_0=1, P1_0_1=2, P1_0_0=3, P1_1_1=2, P1_1_0=1, M2_0_1=1, M2_0_0=0, M2_1_1=1, M2_1_0=1, P2_0_1=4, P2_0_0=1, P2_1_1=4, P2_1_0=4
2024-05-13 21:01:32,389 - synthesizer.py - double-checking specification satisfiability:  : -8.54476716312559
--------------------
Synthesis summary:
optimality objective: R[exp]{"moves"}max=? [F "goal"] 

method: AR, synthesis time: 379.28 s
number of holes: 16, family size: 1e7, quotient: 18432 states / 599040 actions
explored: 100 %
MDP stats: avg MDP size: 4000, iterations: 5047

optimum: -8.544767
--------------------
