
Loading the model ...
  input file   : ../models/drone-4-2-80.pomdp
  loading time : 0.01s 

SARSOP initializing ...
  initialization time : 14.92s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
 185.77  65      1801     0.00576698 0.00771696 0.00194998  602      195      
 190.89  67      1851     0.00586587 0.00771696 0.00185109  610      201      
 196.58  69      1907     0.00591168 0.00771696 0.00180528  623      203      
 201.25  70      1950     0.00591944 0.00771696 0.00179752  642      207      
 206.47  72      2000     0.00593565 0.00771696 0.00178131  656      211      
 211.81  74      2053     0.00595    0.00771696 0.00176695  671      218      
 217.82  76      2109     0.00598809 0.00771696 0.00172886  679      221      
 223.81  78      2165     0.00603473 0.00771696 0.00168223  699      228      
 227.86  79      2200     0.00606019 0.00771696 0.00165677  707      230      
 233.92  81      2255     0.0060953  0.00771696 0.00162166  722      239      
 239.83  83      2309     0.0061394  0.00771696 0.00157756  724      239      
 244.5   84      2350     0.00616419 0.00771696 0.00155276  736      244      
 250.15  86      2400     0.00629498 0.00771696 0.00142198  749      253      
 256.76  88      2463     0.00632603 0.00771696 0.00139093  772      257      
 261     89      2500     0.00633256 0.00771696 0.0013844   775      260      
 266.42  91      2551     0.00634515 0.00771696 0.00137181  797      264      
 272.67  93      2611     0.00636404 0.00771696 0.00135291  819      269      
 277.05  94      2650     0.00639345 0.00771696 0.00132351  832      274      
 282.77  96      2703     0.00641391 0.00771696 0.00130305  855      279      
 289.1   98      2763     0.00642618 0.00771696 0.00129078  873      281      
 293.46  99      2800     0.00643812 0.00771696 0.00127884  871      287      
 299.63  101     2857     0.00653789 0.00771696 0.00117906  903      301      
 305.38  103     2907     0.00656389 0.00771696 0.00115306  914      301      
 310.65  105     2955     0.00658492 0.00771695 0.00113203  920      303      
 316.33  107     3007     0.00661622 0.00771695 0.00110073  919      303      
 320.97  109     3050     0.00661751 0.00771695 0.00109944  935      304      
 326.29  110     3100     0.00662351 0.00771695 0.00109344  959      304      
 332.12  112     3150     0.00663321 0.00771695 0.00108375  991      308      
 338.27  114     3205     0.00663955 0.00771695 0.0010774   1016     314      
 342.64  116     3250     0.00664107 0.00771695 0.00107588  1061     315      
 348.37  117     3300     0.00665962 0.00771695 0.00105733  1052     321      
 353.06  119     3353     0.00666478 0.00771695 0.00105217  1105     328      
 359.5   121     3409     0.00669054 0.00771695 0.00102641  1147     328      
 365.09  122     3450     0.00670022 0.00771695 0.00101673  1064     328      
 369.79  124     3500     0.00670844 0.00771695 0.00100851  1114     329      
 376.57  126     3561     0.00671492 0.00771695 0.00100203  1141     341      
 381.79  128     3600     0.00676165 0.00771359 0.000951944 1102     347      
 386.26  129     3650     0.00680388 0.00771343 0.000909556 1152     361      
 390.71  131     3700     0.00681455 0.00771342 0.00089887  1202     362      
 398.76  133     3753     0.0068438  0.00771342 0.000869624 1148     367      
 403.35  135     3801     0.00684727 0.00771342 0.000866152 1196     367      
 409.26  137     3863     0.00684931 0.00771342 0.000864112 1258     369      
 416.1   138     3900     0.0068525  0.00771342 0.00086092  1208     376      
 421.42  140     3957     0.00685732 0.00771342 0.000856109 1265     379      
 426.81  142     4013     0.00686521 0.00771342 0.000848216 1321     381      
 432.81  143     4051     0.00687084 0.00771342 0.00084258  1255     393      
 437.5   145     4109     0.00687582 0.00771342 0.000837605 1313     396      
 440.83  146     4150     0.00687682 0.00771342 0.0008366   1354     405      
 446.37  148     4203     0.00688129 0.00771342 0.00083213  1386     410      
 452.21  149     4250     0.00688953 0.00771342 0.000823894 1312     419      
 456.74  151     4300     0.00706922 0.00770982 0.000640601 1362     431      
 461.09  153     4350     0.00707481 0.00770982 0.00063501  1412     432      
 470.64  155     4407     0.00707845 0.00770982 0.00063137  1338     435      
 474.68  157     4451     0.00708907 0.00770982 0.000620751 1382     435      
 480.56  159     4513     0.00709043 0.00770982 0.000619387 1444     439      
 485.48  160     4550     0.00709296 0.00770982 0.000616864 1420     439      
 490.36  162     4607     0.00709372 0.00770982 0.000616098 1477     440      
 496.47  163     4650     0.00709427 0.00770982 0.000615556 1439     445      
 501.45  165     4709     0.00709922 0.00770982 0.000610606 1498     447      
 506.17  167     4763     0.00710074 0.00770982 0.000609083 1552     450      
 511.37  168     4800     0.00710397 0.00770982 0.000605852 1560     451      
 518.51  170     4850     0.00710473 0.00770982 0.000605091 1510     461      
 522.81  171     4900     0.00710615 0.00770982 0.000603668 1560     462      
 527.45  173     4953     0.00711864 0.00770982 0.000591182 1613     471      
 531.44  174     5000     0.00712076 0.00770982 0.000589057 1660     471      
 538.08  176     5053     0.0071241  0.00770982 0.000585724 1682     481      
 543.1   178     5111     0.00717002 0.00770982 0.000539799 1740     491      
 549.71  179     5150     0.00717273 0.00770982 0.000537092 1523     492      
 554.04  181     5200     0.00717657 0.00770982 0.000533246 1573     497      
 558.96  183     5257     0.00718474 0.00770982 0.00052508  1630     500      
 562.9   184     5300     0.0071877  0.00770982 0.000522115 1673     506      
 570.29  186     5350     0.007189   0.00770982 0.000520823 1673     511      
 575.19  187     5400     0.007189   0.00770982 0.000520823 1723     528      
 583.06  189     5451     0.007189   0.00770982 0.000520823 1680     536      
 587.05  190     5500     0.007189   0.00770982 0.000520823 1729     550      
 592.51  192     5565     0.00719497 0.00770982 0.00051485  1794     560      
 595.68  193     5600     0.00726254 0.00770907 0.000446531 1829     566      
 602.71  195     5650     0.00727723 0.00770907 0.000431835 1824     567      
 611.54  197     5709     0.00727896 0.00770907 0.000430113 1775     569      
 615.67  199     5757     0.00728442 0.00770907 0.000424645 1823     569      
 619.36  200     5800     0.00728467 0.00770907 0.000424403 1866     571      
 624.3   202     5857     0.00728743 0.00770907 0.000421641 1923     574      
 631.9   204     5911     0.00728841 0.00770907 0.000420654 1902     575      
 635.23  205     5950     0.00728907 0.00770907 0.000419998 1941     575      
 639.51  207     6000     0.00729314 0.00770907 0.000415928 1991     578      
 648.06  209     6050     0.00729707 0.00770907 0.000411999 1897     579      
 653     211     6111     0.00730193 0.00770907 0.000407141 1958     582      
 656.32  212     6150     0.00730268 0.00770907 0.000406385 1997     585      
 661.88  214     6215     0.00730648 0.00770907 0.000402591 2062     590      
 668.53  215     6251     0.00730745 0.00770907 0.000401617 2067     594      
 673.47  217     6311     0.00730886 0.00770907 0.000400203 2127     595      
 678.11  219     6365     0.00731516 0.00770907 0.000393907 2181     603      
 680.97  220     6400     0.00733182 0.00770851 0.000376694 2216     607      
 685.1   222     6450     0.00733961 0.00770851 0.000368907 2266     609      
 698.36  224     6503     0.00734542 0.00770851 0.00036309  1964     611      
 703.63  226     6565     0.00734796 0.00770851 0.000360551 2026     619      
 706.78  227     6605     0.0073495  0.00770851 0.000359011 2066     626      
 711.45  229     6663     0.00735182 0.00770851 0.000356688 2124     626      
 717.98  230     6701     0.00735234 0.00770851 0.000356171 2094     636      
 723.12  232     6767     0.00735343 0.00770851 0.000355084 2160     637      
 726.33  233     6805     0.00735564 0.00770851 0.000352867 2198     644      
 731.2   235     6863     0.00735745 0.00770851 0.000351058 2256     645      
 734.4   236     6900     0.00736397 0.00770851 0.000344541 2293     651      
 748.16  238     6951     0.00742022 0.00770738 0.000287163 2140     653      
 752.43  240     7003     0.00742218 0.00770738 0.000285207 2192     653      
 756.25  242     7050     0.00742684 0.00770738 0.000280541 2239     653      
 760.29  244     7101     0.007429   0.00770738 0.000278388 2290     653      
 765.19  246     7161     0.0074421  0.00770738 0.000265285 2350     662      
 772.02  248     7200     0.0074433  0.00770738 0.000264089 2221     663      
 776.09  249     7250     0.00744491 0.00770738 0.000262476 2271     664      
 780.69  251     7307     0.0074453  0.00770738 0.00026208  2328     664      
 784.26  252     7350     0.0074468  0.00770738 0.000260582 2371     665      
 792.65  254     7403     0.00744744 0.00770738 0.000259939 2362     668      
 802.76  255     7450     0.00744895 0.00770738 0.000258429 2309     673      
 806.85  257     7500     0.00745118 0.00770738 0.000256206 2359     673      
 811.17  259     7553     0.00745365 0.00770738 0.000253737 2412     676      
 816.82  261     7619     0.007461   0.00770738 0.000246389 2478     688      
 819.52  262     7650     0.00746129 0.00770738 0.000246096 2509     688      
 829.99  264     7701     0.00746205 0.00770738 0.000245335 2521     688      
 834.58  265     7750     0.00746312 0.00770738 0.000244261 2570     691      
 839.47  267     7800     0.00746525 0.00770738 0.000242133 2620     692      
 845.94  269     7867     0.00750202 0.00770723 0.000205208 2687     700      
 849.79  271     7907     0.00750826 0.00770723 0.000198969 2727     700      
 870.96  273     7957     0.00750937 0.00770723 0.000197853 2410     700      
 876.49  275     8013     0.00751039 0.00770723 0.000196835 2466     700      
 880.3   276     8050     0.00751082 0.00770723 0.000196403 2503     701      
 885.48  278     8100     0.00751267 0.00770723 0.000194557 2553     701      
 890.77  280     8155     0.00751393 0.00770723 0.000193297 2608     704      
*** Received SIGINT. User pressed control-C. ***

Terminating ...

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 907.16  281     8199     0.00751452 0.00770723 0.000192708 2589     711      
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ../output/drone-4-2-80.out

